Address,Block,Coordinates
"1220 estabrook dr, Saint Paul, MN, 55104",122x estabrook dr,"44.9801399,-93.151842"
"270 oxford st n, Saint Paul, MN, 55104",27x oxford st n,"44.9493409,-93.1460124"
"300 lexington pa n, Saint Paul, MN, 55104",3xx lexington pa n,"44.9502712,-93.1483366"
"310 griggs st n, Saint Paul, MN, 55104",31x griggs st n,"44.9503989,-93.1526334"
"330 lexington pa n, Saint Paul, MN, 55104",33x lexington pa n,"44.9510262,-93.1482303"
"370 lexington pa n, Saint Paul, MN, 55104",37x lexington pa n,"44.9525025,-93.1483671"
"390 griggs st n, Saint Paul, MN, 55104",39x griggs st n,"44.9524049,-93.1539098"
"390 lexington pa n, Saint Paul, MN, 55104",39x lexington pa n,"44.9525804,-93.1483741"
"4 acker st w, Saint Paul, MN, 55103",x acker st w,"44.9637939,-93.1023357"
"4 como av, Saint Paul, MN, 55103",x como av,"44.9591406,-93.1010532"
"4 empire dr, Saint Paul, MN, 55103",x empire dr,"44.9618825,-93.1006424"
"4 winter st, Saint Paul, MN, 55103",x winter st,"44.9593297,-93.1010613"
"400 lexington pa n, Saint Paul, MN, 55104",40x lexington pa n,"44.9532639,-93.1483774"
"400 lexington pa n, Saint Paul, MN, 55104",4xx lexington pa n,"44.9532639,-93.1483774"
"410 lexington pa n, Saint Paul, MN, 55104",41x lexington pa n,"44.9535593,-93.1484101"
"440 lexington pa n, Saint Paul, MN, 55104",44x lexington pa n,"44.9543986,-93.1487352"
"450 lexington pa n, Saint Paul, MN, 55104",45x lexington pa n,"44.9545621,-93.1485113"
"460 lexington pa n, Saint Paul, MN, 55104",46x lexington pa n,"44.954983,-93.1484416"
"490 lexington parkway n, Saint Paul, MN, 55104",49x lexington pa n,"44.956045,-93.1486895"
"500 lexington parkway n, Saint Paul, MN, 55104",50x lexington pa n,"44.9563334,-93.1483637"
"520 lexington parkway n, Saint Paul, MN, 55104",52x lexington pa n,"44.9569328,-93.1484041"
"530 lexington parkway n, Saint Paul, MN, 55104",53x lexington pa n,"44.9571881,-93.1483984"
"540 lexington parkway n, Saint Paul, MN, 55104",54x lexington pa n,"44.957406,-93.1484224"
"550 lexington parkway n, Saint Paul, MN, 55104",55x lexington pa n,"44.9578439,-93.1483919"
"560 lexington parkway n, Saint Paul, MN, 55104",56x lexington pa n,"44.9581361,-93.1483721"
"570 lexington parkway n, Saint Paul, MN, 55104",57x lexington pa n,"44.9584367,-93.148732"
"580 lexington parkway n, Saint Paul, MN, 55104",58x lexington pa n,"44.9587744,-93.1483365"
"590 lexington parkway n, Saint Paul, MN, 55104",59x lexington pa n,"44.959041,-93.1483877"
"600 lexington pa n, Saint Paul, MN, 55104",60x lexington pa n,"44.959339,-93.1483949"
"620 lexington parkway n, Saint Paul, MN, 55104",62x lexington pa n,"44.959956,-93.148371"
"630 lexington pa n, Saint Paul, MN, 55104",63x lexington pa n,"44.9602523,-93.148719"
"640 lexington parkway n, Saint Paul, MN, 55104",64x lexington pa n,"44.9606069,-93.1483879"
"650 lexington pa n, Saint Paul, MN, 55104",65x lexington pa n,"44.960813,-93.1483901"
"660 lexington parkway n, Saint Paul, MN, 55104",66x lexington pa n,"44.9610311,-93.1484081"
"690 lexington parkway n, Saint Paul, MN, 55104",69x lexington pa n,"44.9620718,-93.1487194"
"700 lexington parkway n, Saint Paul, MN, 55104",70x lexington pa n,"44.9624032,-93.1483491"
"730 capitol ht, Saint Paul, MN, 55103",73x capitol ht,"44.9574832,-93.1008501"
"740 capitol bd, Saint Paul, MN, 55103",74x capitol bd,"44.9604226,-93.1043921"
"750 lexington pa n, Saint Paul, MN, 55104",75x lexington pa n,"44.9638831,-93.1487143"
"760 capitol bd, Saint Paul, MN, 55103",76x capitol bd,"44.9604226,-93.1043921"
"760 capitol ht, Saint Paul, MN, 55103",76x capitol ht,"44.9581777,-93.1015818"
"760 lexington pa n, Saint Paul, MN, 55104",76x lexington pa n,"44.9642515,-93.1483774"
"770 capitol bd, Saint Paul, MN, 55103",77x capitol bd,"44.9604226,-93.1043921"
"770 lexington pa n, Saint Paul, MN, 55104",77x lexington pa n,"44.9645288,-93.1483993"
"780 capitol bd, Saint Paul, MN, 55103",78x capitol bd,"44.9590958,-93.1018322"
"780 lexington pa n, Saint Paul, MN, 55104",78x lexington pa n,"44.9647848,-93.1484051"
"790 capitol bd, Saint Paul, MN, 55103",79x capitol bd,"44.9604226,-93.1043921"
"790 capitol ht, Saint Paul, MN, 55103",79x capitol ht,"44.959115,-93.1015987"
"800 capitol ht, Saint Paul, MN, 55103",80x capitol ht,"44.9589631,-93.1019182"
"810 capitol ht, Saint Paul, MN, 55103",81x capitol ht,"44.9598641,-93.101442"
"820 capitol bd, Saint Paul, MN, 55103",82x capitol bd,"44.9602478,-93.101778"
"820 capitol ht, Saint Paul, MN, 55103",82x capitol ht,"44.960073,-93.1013527"
"900 lexington pa n, Saint Paul, MN, 55104",90x lexington pa n,"44.9684405,-93.1487026"
"950 lexington pa n, Saint Paul, MN, 55104",95x lexington pa n,"44.969854,-93.1481981"