ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION,District Council - Map,Council Ward,:@computed_region_crxq_iug7,:@computed_region_5wjj_5at9
888 MARYLAND AVE E,05/06/2016 12:00:00 AM,Commercial,3,6,5,31100,"(44.9772640833983, -93.063028542702)",13,1,194,72
1179 7TH ST E,04/25/2016 12:00:00 AM,Commercial,2,6,4,31701,"(44.9667801906707, -93.050557533463)",15,1,128,58
346 SHERBURNE AVE,04/25/2016 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.9565542969203, -93.114620088951)",10,7,98,49
1596 HOYT AVE E,04/21/2016 12:00:00 AM,Single Family Residential,1,6,2,30703,"(44.988194857534, -93.033061523792)",14,1,136,82
1073 BEECH ST,04/19/2016 12:00:00 AM,Single Family Residential,2,7,4,31701,"(44.9622804503574, -93.055251193195)",15,2,127,58
632 LEXINGTON PKWY N,04/14/2016 12:00:00 AM,Duplex,2,1,7,32400,"(44.9604015217443, -93.146266512187)",10,7,55,56
865 ATLANTIC ST,03/11/2016 12:00:00 AM,Commercial,1,6,4,31701,"(44.9673509664395, -93.048437498735)",15,1,128,58
1136 LAFOND AVE,02/11/2016 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.9601204269163, -93.148171484689)",4,4,47,54
975 REANEY AVE,02/11/2016 12:00:00 AM,Multi-family Residential,2,7,4,31701,"(44.9640965675654, -93.059400901138)",15,2,195,58
955 BRADLEY ST,02/05/2016 12:00:00 AM,Single Family Residential,2,5,5,31500,"(44.9699361081084, -93.078787427996)",13,3,186,59
2059 IDAHO AVE E,01/29/2016 12:00:00 AM,Single Family Residential,3,6,2,30702,"(44.9903162937572, -93.013437701269)",14,1,150,80
819 BUFFALO ST,01/05/2016 12:00:00 AM,Single Family Residential,1,5,6,31400,"(44.9658008407486, -93.093367421132)",3,3,179,62
308 LAWSON AVE W,01/05/2016 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.9719220647333, -93.113050730013)",3,3,157,69
485 BLAIR AVE,12/04/2015 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.9613042611002, -93.120660879198)",10,7,85,51
975 HUDSON ROAD,11/19/2015 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.9523724904879, -93.059254060336)",15,2,197,42
1957 WARBLER LANE,11/17/2015 12:00:00 AM,Single Family Residential,2,7,1,37402,"(44.9465584195937, -93.017665487565)",16,2,143,30
31 WINTER ST,11/12/2015 12:00:00 AM,Single Family Residential,2,1,7,42800,"(44.9599727288419, -93.100784831343)",10,7,164,45
915 CENTRAL AVE W APT 1,10/21/2015 12:00:00 AM,Single Family Residential,2,1,8,33500,"(44.9531765288025, -93.138653515584)",9,7,56,40
2203 GLENRIDGE AVE,10/02/2015 12:00:00 AM,Duplex,2,7,1,37403,"(44.9362191237973, -93.007456886017)",16,2,100,11
830 UNIVERSITY AVE W,09/30/2015 12:00:00 AM,Duplex,3,1,8,33500,"(44.9554788039299, -93.135247069355)",9,7,66,40
1706 MINNEHAHA AVE E,09/23/2015 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.9629163401036, -93.028520076946)",16,2,140,43
979 4TH ST E,09/17/2015 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.9586755200864, -93.05922681194)",15,2,196,42
458 BLAIR AVE,09/11/2015 12:00:00 AM,Duplex,2,1,7,32600,"(44.9610144575565, -93.119417436842)",10,7,85,51
1033 GALTIER ST,09/10/2015 12:00:00 AM,Duplex,2,5,6,30800,"(44.9725271566272, -93.111304571778)",3,3,157,69
901 YORK AVE,08/21/2015 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.9686116606823, -93.062284853212)",13,1,195,65
1040 SELBY AVE,08/18/2015 12:00:00 AM,Commercial,2,1,8,42900,"(44.9464844660218, -93.144238029059)",9,7,57,28
847 HAWTHORNE AVE E,08/12/2015 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.9785876538404, -93.064697089757)",13,1,131,72
871 JESSAMINE AVE E,06/12/2015 12:00:00 AM,Single Family Residential,3,6,5,31100,"(44.9749607697485, -93.063866152952)",13,1,194,72
837 4TH ST E,05/06/2015 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.9585197320109, -93.065303515045)",15,2,196,42
1549 MINNEHAHA AVE W,05/06/2015 12:00:00 AM,Duplex,2,4,11,32100,"(44.9630452959007, -93.165902301722)",4,4,35,57
1080 UNIVERSITY AVE W,04/30/2015 12:00:00 AM,Commercial,2,1,8,33500,"(44.9555430243863, -93.145472970154)",9,7,56,40
882 HATCH AVE,03/30/2015 12:00:00 AM,Single Family Residential,2,5,10,31200,"(44.9710887606119, -93.137419097933)",2,3,53,64
1672 BUSH AVE,03/27/2015 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.964784734486, -93.029724967995)",14,2,139,63
1152 BUSH AVE,03/03/2015 12:00:00 AM,Duplex,2,7,4,31701,"(44.9647575388738, -93.051997339074)",15,2,128,58
1841 UNIVERSITY AVE W,03/03/2015 12:00:00 AM,Commercial,2,4,11,31900,"(44.9563629358308, -93.178083075352)",4,4,6,61
1871 NEBRASKA AVE E,01/22/2015 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.9866895034359, -93.021410275043)",14,1,148,80
893 HUDSON ROAD,01/13/2015 12:00:00 AM,Duplex,2,7,4,34400,"(44.9524100760995, -93.063032066732)",15,2,197,36
412 GOODRICH AVE,12/31/2014 12:00:00 AM,Single Family Residential,3,2,9,36900,"(44.9375919522291, -93.117385425454)",11,5,89,16
1976 FAIRMOUNT AVE,11/06/2014 12:00:00 AM,Single Family Residential,2,4,14,34900,"(44.9368472663119, -93.183859868173)",5,4,9,25
1845 UNIVERSITY AVE W,10/28/2014 12:00:00 AM,Commercial,2,4,11,31900,"(44.9564249752217, -93.178233516161)",4,4,6,61
1509 MARSHALL AVE,10/20/2014 12:00:00 AM,Commercial,2,1,13,33400,"(44.9486078712927, -93.163870718583)",17,7,33,37
1936 WORCESTER AVE,10/08/2014 12:00:00 AM,Single Family Residential,2,3,15,37601,"(44.9037203267301, -93.182077786375)",6,6,13,2
955 JUNO AVE,10/02/2014 12:00:00 AM,Single Family Residential,2,2,9,36700,"(44.9260628309116, -93.140561448284)",11,5,59,6
1336 DAYTON AVE,10/02/2014 12:00:00 AM,Duplex,2,1,13,35300,"(44.947313011053, -93.156577710481)",17,7,45,4
1457 3RD ST E,10/01/2014 12:00:00 AM,Single Family Residential,2,7,1,34602,"(44.956970942974, -93.038835961878)",16,2,135,46
1725 BEECH ST,09/24/2014 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.9623507155606, -93.027511831446)",16,2,140,43
1286 SHERBURNE AVE,09/09/2014 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.9564636138215, -93.154628712595)",4,4,47,54
733 FAIRVIEW AVE N,09/04/2014 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.9632697156242, -93.177406372489)",4,4,5,55
610 ST ALBANS ST N,09/04/2014 12:00:00 AM,Single Family Residential,3,1,7,32500,"(44.9596694892376, -93.1287528175)",10,7,67,47
962 ARCADE ST,09/04/2014 12:00:00 AM,Mixed Use,2,6,5,31600,"(44.970419545735, -93.065800888889)",13,1,194,65
931 SHERBURNE AVE,08/21/2014 12:00:00 AM,Duplex,3,1,7,32500,"(44.9567778799777, -93.139577899027)",10,7,55,47
827 VAN BUREN AVE,08/19/2014 12:00:00 AM,Duplex,2,1,7,32400,"(44.9621987711052, -93.135100216765)",10,7,67,56
1203 DAVERN ST,08/13/2014 12:00:00 AM,Single Family Residential,3,3,15,37500,"(44.9051318297611, -93.17240409773)",6,6,25,5
999 PAYNE AVE,08/13/2014 12:00:00 AM,Commercial,2,6,5,31000,"(44.9714075588693, -93.073666459329)",13,1,190,70
118 MANITOBA AVE,08/12/2014 12:00:00 AM,Duplex,2,1,6,31400,"(44.9682094300939, -93.104977639406)",3,7,163,62
740 TATUM ST,07/14/2014 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.9634371058007, -93.179632200506)",4,4,5,55
959 HUDSON ROAD,06/25/2014 12:00:00 AM,Duplex,2,7,4,34500,"(44.952390768116, -93.059858025204)",15,2,197,42
670 SIMS AVE,06/24/2014 12:00:00 AM,Single Family Residential,2,6,5,31500,"(44.9692231498019, -93.072254870008)",13,1,189,59
330 9TH ST E,06/18/2014 12:00:00 AM,Multi-family Residential,2,2,4,33000,"(44.9533767925644, -93.087161835249)",15,5,177,50
786 WHEELOCK PKWY E,05/09/2014 12:00:00 AM,Single Family Residential,2,6,5,30602,"(44.9844834884657, -93.067286499628)",13,1,165,81
1355 CHARLES AVE,04/15/2014 12:00:00 AM,Single Family Residential,2,4,11,32200,"(44.9576531332881, -93.157499995119)",4,4,34,53
1897 LACROSSE AVE,02/20/2014 12:00:00 AM,Multi-family Residential,2,6,2,31801,"(44.9714479337546, -93.020490168028)",14,1,147,63
985 WOODBRIDGE ST,02/05/2014 12:00:00 AM,Single Family Residential,2,5,6,31300,"(44.9709393675714, -93.108681140634)",3,3,157,60
1940 REANEY AVE,01/24/2014 12:00:00 AM,Single Family Residential,2,7,2,31802,"(44.9643609216913, -93.017825481339)",14,2,146,66
677 PIERCE BUTLER ROUTE,01/23/2014 12:00:00 AM,Commercial,2,1,7,32400,"(44.9651425346894, -93.128701128722)",10,7,68,56
117 UNIVERSITY AVE W,12/20/2013 12:00:00 AM,Commercial,2,1,7,42800,"(44.9561374633699, -93.104985994918)",10,7,164,45
1628 DARLENE ST,11/05/2013 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.9904672320544, -93.018629181738)",14,1,148,80
1722 ARLINGTON AVE E,10/31/2013 12:00:00 AM,Single Family Residential,2,6,2,30704,"(44.9845448981972, -93.027582593717)",14,1,137,73
904 CHARLOTTE ST,10/23/2013 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.9683098218033, -93.170281187652)",4,4,17,57
39 HILLTOP LANE,10/15/2013 12:00:00 AM,Single Family Residential,1,3,15,37500,"(44.9078330856254, -93.175566849169)",6,6,25,5
1758 STILLWATER AVE,10/04/2013 12:00:00 AM,Single Family Residential,2,6,2,31801,"(44.9675126502182, -93.026246163187)",14,1,139,63
701 SURREY AVE,10/03/2013 12:00:00 AM,Duplex,2,7,4,34400,"(44.9544001399042, -93.067977378224)",15,2,187,36
1784 NORFOLK AVE,09/24/2013 12:00:00 AM,Single Family Residential,2,3,15,37602,"(44.8978447837144, -93.175742958836)",6,6,15,1
412 HOLLY AVE,09/05/2013 12:00:00 AM,Single Family Residential,3,1,8,35800,"(44.9432632729516, -93.117486030537)",9,7,87,27
292 STURGIS ST,08/06/2013 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.9385633995906, -93.112416686882)",11,5,94,26
914 UNIVERSITY AVE W,08/06/2013 12:00:00 AM,Commercial,2,1,8,33500,"(44.9555273230037, -93.13869964964)",9,7,56,40
1004 THOMAS AVE,06/18/2013 12:00:00 AM,Duplex,2,1,7,32500,"(44.9592056861485, -93.14257857551)",10,7,55,47
282 WYOMING ST E,05/31/2013 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.9202145745649, -93.073627619679)",7,5,79,9
461 HOLLY AVE UNIT 1,03/26/2013 12:00:00 AM,Multi-family Residential,2,1,8,35500,"(44.9437189996695, -93.119586661253)",9,7,87,31
574 SHERBURNE AVE,03/18/2013 12:00:00 AM,Duplex,2,1,7,32600,"(44.9565189905473, -93.124424027256)",10,7,85,51
46 DELOS ST W,03/14/2013 12:00:00 AM,Single Family Residential,2,2,3,37100,"(44.9336344712317, -93.087377121305)",7,5,78,18
906 THOMAS AVE,02/26/2013 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.9591850392662, -93.138470483198)",10,7,55,47
661 DALE ST N,02/26/2013 12:00:00 AM,Mixed Use,2,1,7,32400,"(44.9612698556442, -93.126542716831)",10,7,67,56
27 EMPIRE DRIVE,02/04/2013 12:00:00 AM,Commercial,3,1,7,42800,"(44.9629011104184, -93.100513805218)",10,7,164,45
0 KELLOGG BLVD E,01/11/2013 12:00:00 AM,Commercial,2,2,4,34400,"(44.9512107879154, -93.076419552677)",15,5,187,36
943 DESOTO ST,12/28/2012 12:00:00 AM,Single Family Residential,2,5,5,31500,"(44.9695789081844, -93.081369402101)",13,3,186,59
578 SARATOGA ST S,12/21/2012 12:00:00 AM,Single Family Residential,1,3,15,36500,"(44.9241029438189, -93.164255110894)",6,6,29,12
497 HOPKINS ST,12/18/2012 12:00:00 AM,Duplex,2,5,5,33000,"(44.9584477968459, -93.079233184341)",13,3,75,50
706 CONWAY ST,11/27/2012 12:00:00 AM,Duplex,2,7,4,34400,"(44.9548279541029, -93.068257882714)",15,2,187,36
167 SHERBURNE AVE,11/20/2012 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.956824271032, -93.107155388492)",10,7,98,49
1880 AMES AVE,11/16/2012 12:00:00 AM,Duplex,2,6,2,31801,"(44.9719323739946, -93.021016034548)",14,1,147,63
1915 IVY AVE E,10/16/2012 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.9812628322084, -93.019428563332)",14,1,149,80
318 EDMUND AVE,10/04/2012 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.9583021910351, -93.113619948362)",10,7,98,49
118 DOUGLAS ST,09/24/2012 12:00:00 AM,Single Family Residential,2,2,9,36000,"(44.9379785117523, -93.110834588928)",11,5,94,17
661 WESTERN AVE N,09/18/2012 12:00:00 AM,Mixed Use,2,1,7,32600,"(44.9613161570007, -93.116270826076)",10,7,85,51
530 GERANIUM AVE E,08/31/2012 12:00:00 AM,Single Family Residential,3,5,5,30900,"(44.9754561440848, -93.078055191659)",13,3,185,68
694 SNELLING AVE N,08/20/2012 12:00:00 AM,Commercial,3,4,11,32100,"(44.962152782752, -93.166829667551)",4,4,34,57
1281 SHERBURNE AVE,08/08/2012 12:00:00 AM,Duplex,2,4,11,32300,"(44.9567891852065, -93.1544502675)",4,4,47,54
1554 MIDWAY PKWY,08/07/2012 12:00:00 AM,Commercial,2,4,10,30201,"(44.9805436994602, -93.165399271935)",2,4,37,77
694 SHERBURNE AVE,08/06/2012 12:00:00 AM,Duplex,2,1,7,32500,"(44.9564888141343, -93.129578284931)",10,7,67,47
55 FRONT AVE,06/11/2012 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.9704369923757, -93.102467921813)",3,3,162,62
1785 VAN BUREN AVE,05/15/2012 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.9620944629126, -93.175837948279)",4,4,18,55
1221 BRADLEY ST,04/03/2012 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.9781039018594, -93.078811749629)",13,3,184,68
1332 DAYTON AVE,03/12/2012 12:00:00 AM,Single Family Residential,3,1,13,35300,"(44.9473109688166, -93.156418576798)",17,7,45,4
698 DESOTO ST,03/02/2012 12:00:00 AM,Duplex,2,5,5,33000,"(44.9622799146213, -93.08091412851)",13,3,75,50
626 REANEY AVE,01/20/2012 12:00:00 AM,Single Family Residential,2,6,5,31500,"(44.9637949684493, -93.074142965252)",13,1,189,59
989 3RD ST E,11/01/2011 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.9568544056193, -93.058822503618)",15,2,196,42
2101 KNAPP ST,10/06/2011 12:00:00 AM,Multi-family Residential,2,4,12,30100,"(44.9798351958421, -93.189169849736)",1,4,4,74
823 AURORA AVE,08/03/2011 12:00:00 AM,Duplex,2,1,8,33500,"(44.9549641448596, -93.134943598493)",9,7,66,40
771 IOWA AVE W,07/22/2011 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.9893138179924, -93.132422358319)",2,3,71,76
1161 NORTON ST,07/05/2011 12:00:00 AM,Duplex,2,5,6,30800,"(44.9761781604964, -93.120231709553)",3,3,74,69
224 GROTTO ST N,05/17/2011 12:00:00 AM,Single Family Residential,2,1,8,33900,"(44.9480276430582, -93.131240092122)",9,7,65,33
1799 YORK AVE,05/02/2011 12:00:00 AM,Single Family Residential,2,6,2,31801,"(44.9689101714472, -93.024301287452)",14,1,146,63
663 3RD ST E,04/26/2011 12:00:00 AM,Multi-family Residential,2,7,4,34400,"(44.9547963325615, -93.071254461297)",15,2,188,36
830 IGLEHART AVE,03/22/2011 12:00:00 AM,Duplex,2,1,8,33800,"(44.949313698681, -93.135383479304)",9,7,66,14
939 CHARLES AVE,03/04/2011 12:00:00 AM,Duplex,2,1,7,32500,"(44.9576812238229, -93.139864224799)",10,7,55,47
853 CONWAY ST,12/30/2010 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.9559550213419, -93.064417125899)",15,2,197,42
871 PAYNE AVE,12/03/2010 12:00:00 AM,Commercial,1,6,5,31500,"(44.9676609057804, -93.073692465628)",13,1,189,59
842 RICE ST,11/24/2010 12:00:00 AM,Commercial,2,1,6,31400,"(44.9667242249938, -93.105766711692)",3,7,163,62
41 MILLER CREST LANE,09/24/2010 12:00:00 AM,Single Family Residential,2,7,1,37402,"(44.9434416324297, -93.03037775243)",16,2,142,30
1802 ROSS AVE,09/01/2010 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.9656359771322, -93.024339954073)",14,2,146,63
648 BUSH AVE,08/27/2010 12:00:00 AM,Multi-family Residential,2,6,5,31500,"(44.9646915466745, -93.073082624327)",13,1,189,59
685 MINNEHAHA AVE E,08/11/2010 12:00:00 AM,Commercial,2,6,4,31500,"(44.9631184623483, -93.07212189467)",15,1,189,59
1440 ROBLYN AVE,08/06/2010 12:00:00 AM,Commercial,3,1,13,33400,"(44.9507711310273, -93.161167576743)",17,7,33,37
925 MAGNOLIA AVE E,06/29/2010 12:00:00 AM,Duplex,2,6,5,31100,"(44.9740333715148, -93.061474058685)",13,1,194,72
556 RICE ST,06/23/2010 12:00:00 AM,Commercial,2,1,7,42800,"(44.9581596747293, -93.105778391228)",10,7,164,45
2117 MOHAWK AVE,05/27/2010 12:00:00 AM,Single Family Residential,1,7,2,31802,"(44.9681990248223, -93.01330286802)",14,2,153,66
864 MARION ST,05/14/2010 12:00:00 AM,Duplex,2,1,6,31300,"(44.9672967765593, -93.109578377266)",3,7,156,60
61 JESSAMINE AVE W,05/13/2010 12:00:00 AM,Duplex,2,5,6,30500,"(44.9747957705766, -93.102562582618)",3,3,162,75
749 CHARLES AVE,05/06/2010 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.9576907548386, -93.131926528578)",10,7,67,47
936 MARSHALL AVE,04/28/2010 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.9483234233175, -93.139759257745)",9,7,57,14
390 SIMS AVE,04/23/2010 12:00:00 AM,Single Family Residential,2,5,5,33000,"(44.9688760270932, -93.084205923386)",13,3,186,50
735 MARGARET ST,04/23/2010 12:00:00 AM,Multi-family Residential,3,7,4,33100,"(44.9613275264831, -93.069741673463)",15,2,188,52
69 GARFIELD ST,04/05/2010 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.9392825570445, -93.113729748056)",11,5,94,26
971 JENKS AVE,03/10/2010 12:00:00 AM,Single Family Residential,1,6,5,31600,"(44.9713615591471, -93.059455019617)",13,1,194,65
656 BUSH AVE,03/01/2010 12:00:00 AM,Multi-family Residential,2,6,5,31500,"(44.9646447893736, -93.072829630756)",13,1,189,59
47 DOUGLAS ST,09/16/2009 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.9399479205555, -93.111205211826)",11,5,94,26
594 REANEY AVE,08/06/2009 12:00:00 AM,Duplex,2,6,5,31500,"(44.9637663273306, -93.075419785081)",13,1,189,59
420 CEDAR ST,06/19/2009 12:00:00 AM,Commercial,2,2,17,34201,"(44.9476634218818, -93.094287594691)",12,5,176,32
1128 MACKUBIN ST,05/05/2009 12:00:00 AM,Duplex,2,5,6,30800,"(44.9753043852058, -93.121042745819)",3,3,74,69
825 UNIVERSITY AVE W,04/20/2009 12:00:00 AM,Commercial,2,1,7,32500,"(44.9559103637928, -93.135104510346)",10,7,67,47
419 FRY ST,03/24/2009 12:00:00 AM,Single Family Residential,2,4,13,33400,"(44.9538574186821, -93.169779474307)",17,4,19,37
718 ORANGE AVE E,03/19/2009 12:00:00 AM,Single Family Residential,3,6,5,31000,"(44.9791438487635, -93.070218714192)",13,1,165,70
1258 RICE ST,02/11/2009 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.9790842076487, -93.105573100459)",3,3,161,75
767 4TH ST E,01/09/2009 12:00:00 AM,Duplex,2,7,4,34500,"(44.9576793823968, -93.067077030399)",15,2,188,42
364 MAPLE ST,12/24/2008 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.9582961757991, -93.068559661822)",15,2,188,42
595 PARK ST,11/21/2008 12:00:00 AM,Duplex,2,1,7,42800,"(44.9594038363004, -93.103998121718)",10,7,164,45
879 6TH ST E,11/04/2008 12:00:00 AM,Single Family Residential,2,7,4,33100,"(44.960445226118, -93.063366921991)",15,2,196,52
2022 STILLWATER AVE,10/27/2008 12:00:00 AM,Single Family Residential,2,7,2,31802,"(44.9689239629415, -93.014984784055)",14,2,153,66
187 7TH PLACE E,08/12/2008 12:00:00 AM,Commercial,2,2,17,34202,"(44.9503193081491, -93.09034844588)",12,5,177,35
307 MARYLAND AVE W,08/08/2008 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.9774903491192, -93.113004137803)",3,3,158,69
536 IOWA AVE E,06/24/2008 12:00:00 AM,Single Family Residential,2,5,5,30601,"(44.9890079722813, -93.078179447571)",13,3,182,78
1313 SEMINARY AVE,06/05/2008 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.964887859907, -93.155729237183)",4,4,48,54
474 CURTICE ST E,03/29/2008 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.922858156184, -93.065684649435)",7,5,122,9
1020 CARROLL AVE,03/12/2008 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.9501237852992, -93.143211146533)",9,7,56,14
50 FILLMORE AVE E,02/26/2008 12:00:00 AM,Commercial,2,2,3,37100,"(44.9402142051823, -93.087190229936)",7,5,77,18
822 VAN BUREN AVE,11/28/2007 12:00:00 AM,Duplex,2,1,7,32400,"(44.9619119910923, -93.134933765412)",10,7,67,56
575 PARK ST,11/13/2007 12:00:00 AM,Single Family Residential,2,1,7,42800,"(44.9586747280584, -93.103947956943)",10,7,164,45
383 KING ST W,08/23/2007 12:00:00 AM,Multi-family Residential,2,2,3,37000,"(44.9276700931864, -93.101494275484)",7,5,173,7
1626 ENGLEWOOD AVE,08/16/2007 12:00:00 AM,Multi-family Residential,2,4,11,32100,"(44.9638769363282, -93.169092882767)",4,4,17,57
1093 4TH ST E,07/20/2007 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.9588922296321, -93.054222636951)",15,2,127,38
287 AVON ST N,07/17/2007 12:00:00 AM,Duplex,2,1,8,33800,"(44.9499427190014, -93.133377183057)",9,7,66,14
1904 PRINCETON AVE,07/12/2007 12:00:00 AM,Single Family Residential,2,3,14,35100,"(44.9359488142281, -93.180806842931)",5,6,9,23
55 MANITOBA AVE,06/01/2007 12:00:00 AM,Duplex,2,1,6,31400,"(44.9684623676033, -93.102159162621)",3,7,163,62
889 AGATE ST,06/01/2007 12:00:00 AM,Multi-family Residential,2,5,6,31400,"(44.9680024783713, -93.094394887809)",3,3,179,62
380 RANDOLPH AVE,11/21/2006 12:00:00 AM,Commercial,2,2,9,36000,"(44.9267151217236, -93.115915507578)",11,5,93,17
811 4TH ST E,10/30/2006 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.9582234042631, -93.065896402543)",15,2,188,42
667 OHIO ST,05/26/2006 12:00:00 AM,Single Family Residential,3,2,3,37000,"(44.9259319976014, -93.09792304371)",7,5,172,7
716 WILSON AVE,10/27/2005 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.9532960197741, -93.065479888955)",15,2,187,36
587 COOK AVE E,10/14/2005 12:00:00 AM,Duplex,2,6,5,31000,"(44.9730483353299, -93.075612188328)",13,1,190,70
680 MINNEHAHA AVE E BLDG 3,07/21/2005 12:00:00 AM,Multi-family Residential,2,,,,,,,,
650 AURORA AVE,01/07/2005 12:00:00 AM,Single Family Residential,3,1,8,33500,"(44.9546496376062, -93.127617153693)",9,7,66,40
1023 JESSIE ST,12/09/2004 12:00:00 AM,Duplex,2,5,5,30900,"(44.9721671763833, -93.077540568301)",13,3,185,68
2075 SCUDDER ST,08/05/2004 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.9787618089353, -93.187845430646)",1,4,4,74
1253 CLEVELAND AVE N,08/05/2004 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.9787614519552, -93.187637097678)",1,4,4,74
1508 COMO AVE,07/29/2003 12:00:00 AM,Duplex,2,4,10,30201,"(44.977126870947, -93.16385765382)",2,4,36,77
2062 COMO AVE,11/09/2001 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.9769023417819, -93.187439957598)",1,4,3,74
1308 VICTORIA ST N,10/30/2001 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.9806018151037, -93.135131625969)",2,3,70,76
466 LAUREL AVE,05/03/2000 12:00:00 AM,Single Family Residential,3,1,8,35500,"(44.9452343913786, -93.119869319232)",9,7,87,31
847 HUDSON ROAD,08/10/1999 12:00:00 AM,Commercial,3,7,4,34400,"(44.9523831474725, -93.064815258985)",15,2,197,36
395 MICHIGAN ST,05/15/1996 12:00:00 AM,Single Family Residential,3,2,9,36900,"(44.9352600297476, -93.116709238712)",11,5,89,16
365 MICHIGAN ST,07/12/1995 12:00:00 AM,Single Family Residential,2,2,9,36000,"(44.9349513001028, -93.115288168328)",11,5,94,17
