School,Num,Grade,Prof,White_Prof,POC_Prof,Black_Prof,Male_Prof,Female_Prof,FRPL_Prof,NonFRPL_Prof
Adams Magnet Elementary,410.0,3.0,0.5357,0.9231,0.3621,0.0909,0.561,0.5116,0.2308,0.8
Adams Magnet Elementary,410.0,4.0,0.4167,0.6842,0.3385,,0.5,0.3478,0.3111,0.5385
Adams Magnet Elementary,410.0,5.0,0.2653,0.5,0.1892,0.0,0.234,0.2941,0.125,0.4
John A. Johnson Achievement Plus El.,415.0,3.0,0.1636,,,0.1,0.35,0.0571,0.1739,
John A. Johnson Achievement Plus El.,415.0,4.0,0.12,,,0.05,0.1379,0.0952,0.125,
John A. Johnson Achievement Plus El.,415.0,5.0,0.1321,,,0.1667,0.0769,0.1852,0.1489,
Battle Creek Elementary School,422.0,3.0,0.3788,0.3,0.3929,0.4074,0.4412,0.3125,0.375,0.4
Battle Creek Elementary School,422.0,4.0,0.4521,,,0.3,0.5517,0.3864,0.4259,0.5263
Battle Creek Elementary School,422.0,5.0,0.4848,,,0.3684,0.4651,0.5217,0.4348,0.6
Benjamin E Mays Magnet,424.0,3.0,0.2586,,,0.2222,0.2,0.3214,0.2245,
Benjamin E Mays Magnet,424.0,4.0,0.1852,,,0.1538,0.1111,0.2593,0.1778,
Benjamin E Mays Magnet,424.0,5.0,0.0635,,,0.0238,0.0714,0.0476,0.0588,0.0833
Chelsea Heights Elementary,425.0,3.0,0.5946,0.75,0.4118,0.5,0.6667,0.5366,0.4688,0.6905
Chelsea Heights Elementary,425.0,4.0,0.493,0.7143,0.3488,0.3889,0.4595,0.5294,0.4,0.6129
Chelsea Heights Elementary,425.0,5.0,0.4933,0.5,0.4878,0.375,0.4884,0.5,0.3243,0.6579
Cherokee Heights Elementary School,428.0,3.0,0.2059,,,,0.2222,0.1875,0.2222,
Cherokee Heights Elementary School,428.0,4.0,0.0667,,,,0.0667,0.0667,0.04,
Cherokee Heights Elementary School,428.0,5.0,0.2222,,,,0.3077,0.1429,0.2609,
Como Park Elementary,431.0,3.0,0.2769,,,0.2,0.3529,0.1935,0.2364,0.5
Como Park Elementary,431.0,4.0,0.5067,,,0.3077,0.4545,0.5806,0.4426,0.7857
Como Park Elementary,431.0,5.0,0.4366,0.7857,0.3509,0.2308,0.3529,0.5135,0.3704,0.6471
Daytons Bluff Elementary,433.0,3.0,0.2041,,,0.1579,0.2759,0.1,0.2,
Daytons Bluff Elementary,433.0,4.0,0.2093,,,0.1111,0.1739,0.25,0.2059,
Daytons Bluff Elementary,433.0,5.0,0.125,,,0.0385,0.1379,0.1053,0.119,
Expo For Excellence Elementary Sch,435.0,3.0,0.6346,0.8,0.4091,0.3462,0.7288,0.5111,0.2424,0.8169
Expo For Excellence Elementary Sch,435.0,4.0,0.7009,0.8824,0.5357,0.4667,0.6964,0.7059,0.5,0.8644
Expo For Excellence Elementary Sch,435.0,5.0,0.4954,0.623,0.3333,0.3077,0.4769,0.5227,0.2162,0.6389
Bruce F Vento Elementary,449.0,3.0,0.2466,,,0.25,0.2857,0.2105,0.2537,
Bruce F Vento Elementary,449.0,4.0,0.2464,,,0.1111,0.2703,0.2188,0.2333,
Bruce F Vento Elementary,449.0,5.0,0.2771,,,0.2308,0.2708,0.2857,0.2692,
Eastern Heights Elementary,452.0,3.0,0.1667,,,0.0714,0.1923,0.125,0.1613,0.1818
Eastern Heights Elementary,452.0,4.0,0.2979,,,,0.4,0.1818,0.25,0.4545
Eastern Heights Elementary,452.0,5.0,0.1765,,,,0.2308,0.12,0.1282,0.3333
Farnsworth Aerospace Lower,458.0,3.0,0.3636,,,0.5,0.4032,0.2973,0.3194,0.4815
Farnsworth Aerospace Lower,458.0,4.0,0.3611,,,0.2,0.3934,0.3191,0.3544,0.3793
Four Seasons Elementary,460.0,3.0,0.1528,,,0.1379,0.1842,0.1176,0.1186,0.3077
Four Seasons Elementary,460.0,4.0,0.1667,0.3125,0.129,0.1786,0.0714,0.2778,0.1667,0.1667
Four Seasons Elementary,460.0,5.0,0.1333,,,0.0811,0.1613,0.1136,0.1148,0.2143
L'Etoile Du Nord French Immersion U,462.0,3.0,0.623,0.7857,0.4848,0.6923,0.6957,0.5789,0.4286,0.6809
L'Etoile Du Nord French Immersion U,462.0,4.0,0.6,0.8571,0.24,0.2857,0.5385,0.6471,0.35,0.725
L'Etoile Du Nord French Immersion U,462.0,5.0,0.7125,0.825,0.6,0.7333,0.7407,0.6981,0.4583,0.8214
Frost Lake Elementary School,464.0,3.0,0.225,,,0.3182,0.2432,0.2093,0.1875,0.375
Frost Lake Elementary School,464.0,4.0,0.2625,,,0.0,0.2791,0.2432,0.2286,0.5
Frost Lake Elementary School,464.0,5.0,0.2179,,,0.2,0.2368,0.2,0.2154,0.2308
Crossroads Montessori,465.0,3.0,0.4333,,,,0.4706,0.3846,0.2778,0.6667
Crossroads Montessori,465.0,4.0,0.2593,,,,0.3,0.2353,0.2857,
Crossroads Montessori,465.0,5.0,0.1429,,,,0.0667,0.2308,0.0714,0.2143
Crossroads Science Program,466.0,3.0,0.381,,,0.2609,0.5333,0.2963,0.3667,0.4167
Crossroads Science Program,466.0,4.0,0.5882,,,0.6316,0.6774,0.45,0.5556,0.6667
Crossroads Science Program,466.0,5.0,0.2549,,,0.2,0.25,0.2609,0.2045,
Galtier Elementary School,467.0,3.0,0.3462,,,,0.3077,0.3846,0.2353,
Galtier Elementary School,467.0,4.0,0.087,,,0.0909,0.0714,,0.1111,
Galtier Elementary School,467.0,5.0,0.0,,,0.0,,0.0,0.0,
Groveland Park Elementary,476.0,3.0,0.5741,0.7692,0.3929,0.1667,0.6923,0.5366,0.32,0.7931
Groveland Park Elementary,476.0,4.0,0.537,0.7222,0.4444,0.3913,0.5294,0.55,0.3939,0.7619
Groveland Park Elementary,476.0,5.0,0.5125,0.7,0.325,0.2381,0.4634,0.5641,0.3056,0.6818
Hamline Elementary School,482.0,3.0,0.4444,,,0.3333,0.4783,0.4091,0.4333,0.4667
Hamline Elementary School,482.0,4.0,0.25,,,0.1739,0.3636,0.1364,0.1765,0.5
Hamline Elementary School,482.0,5.0,0.1556,,,0.12,0.16,0.15,0.0968,0.2857
Jie Ming Mandarin Immersion Academy,483.0,3.0,0.9032,,,,0.8462,0.9444,,0.9259
Jie Ming Mandarin Immersion Academy,483.0,4.0,1.0,,,,1.0,1.0,,1.0
Jie Ming Mandarin Immersion Academy,483.0,5.0,0.8571,,,,,0.8462,,0.9286
The Heights Community School,488.0,3.0,0.3492,,,0.2632,0.3714,0.3214,0.2609,0.5882
The Heights Community School,488.0,4.0,0.2069,,,0.0741,0.2,0.2143,0.1311,0.3846
The Heights Community School,488.0,5.0,0.2,,,0.0,0.1707,0.2414,0.2128,0.1739
Hazel Park Preparatory Academy,489.0,3.0,0.3333,,,0.2609,0.45,0.24,0.325,
Hazel Park Preparatory Academy,489.0,4.0,0.2453,,,0.0417,0.3226,0.1364,0.25,
Hazel Park Preparatory Academy,489.0,5.0,0.0377,,,0.0,0.037,0.0385,0.0392,
Hazel Park Preparatory Academy,489.0,6.0,0.0693,,,0.0769,0.0189,0.125,0.0556,0.1818
Hazel Park Preparatory Academy,489.0,7.0,0.0632,,,0.0,0.0185,0.122,0.0366,0.2308
Hazel Park Preparatory Academy,489.0,8.0,0.1882,,,0.0323,0.1538,0.2174,0.1918,0.1667
Highland Park Elementary,491.0,3.0,0.3731,0.7143,0.283,0.2571,0.4118,0.3333,0.2222,0.6818
Highland Park Elementary,491.0,4.0,0.431,0.7895,0.2564,0.2083,0.4783,0.4,0.2059,0.75
Highland Park Elementary,491.0,5.0,0.3194,0.75,0.1538,0.1143,0.275,0.375,0.1111,0.6667
Jj Hill Montessori,493.0,3.0,0.3519,0.48,0.2414,0.0667,0.32,0.3793,0.0455,0.5625
Jj Hill Montessori,493.0,4.0,0.4118,0.5185,0.2917,0.1,0.3667,0.4762,0.1667,0.4872
Jj Hill Montessori,493.0,5.0,0.1837,0.4,0.0345,0.0,0.2222,0.1364,0.0,0.3462
Capitol Hill Magnet/Rondo,494.0,3.0,0.8,0.9298,0.7051,0.6538,0.8529,0.7463,0.6818,0.8571
Capitol Hill Magnet/Rondo,494.0,4.0,0.8156,0.9623,0.7273,0.8636,0.8406,0.7917,0.7119,0.8902
Capitol Hill Magnet/Rondo,494.0,5.0,0.5238,0.7458,0.375,0.1613,0.5072,0.5385,0.303,0.7037
Capitol Hill Magnet/Rondo,494.0,6.0,0.5399,0.8553,0.365,0.2963,0.6452,0.3933,0.2941,0.7658
Capitol Hill Magnet/Rondo,494.0,7.0,0.601,0.8955,0.4559,0.35,0.5856,0.6196,0.4,0.7961
Capitol Hill Magnet/Rondo,494.0,8.0,0.5764,0.7922,0.4444,0.2931,0.578,0.5745,0.427,0.693
Highwood Hills Elementary,496.0,3.0,0.1081,,,0.0588,0.1429,0.0625,0.1,
Highwood Hills Elementary,496.0,4.0,0.3659,,,0.4167,0.3636,0.3684,0.3333,
Highwood Hills Elementary,496.0,5.0,0.1389,,,0.1053,0.1875,0.1,0.1176,
Jackson Preparatory Elementary,500.0,3.0,0.2683,,,,0.381,0.15,0.2286,
Jackson Preparatory Elementary,500.0,4.0,0.1273,,,0.1176,0.2692,0.0,0.0851,
Jackson Preparatory Elementary,500.0,5.0,0.1569,,,0.0,0.1923,0.12,0.1111,
Linwood Monroe Arts Plus Lower,510.0,3.0,0.3924,0.56,0.3148,0.25,0.4,0.3864,0.2264,0.7308
Linwood Monroe Arts Plus Lower,510.0,4.0,0.2692,0.6,0.1132,0.1579,0.2766,0.2581,0.1071,0.6818
Horace Mann School,518.0,3.0,0.8421,0.907,0.6429,,0.7727,0.8857,,0.9
Horace Mann School,518.0,4.0,0.7869,0.9,0.5714,,0.7429,0.8462,0.4615,0.875
Horace Mann School,518.0,5.0,0.5769,0.6667,0.4074,0.2,0.6,0.5455,0.2222,0.6833
Maxfield Elementary School,524.0,3.0,0.1818,,,0.0769,0.2778,0.1154,0.1944,
Maxfield Elementary School,524.0,4.0,0.1579,,,0.1481,0.2,0.0769,0.1515,
Maxfield Elementary School,524.0,5.0,0.0952,,,0.0625,0.0667,0.1111,0.0909,
Mississippi Creative Arts Elementary,527.0,3.0,0.2283,,,0.1579,0.3061,0.1395,0.2099,0.3636
Mississippi Creative Arts Elementary,527.0,4.0,0.2157,,,0.1304,0.2273,0.2069,0.2308,0.0909
Mississippi Creative Arts Elementary,527.0,5.0,0.3038,,,0.2381,0.3429,0.2727,0.2794,0.4545
Linwood Monroe Arts Plus Upper,528.0,5.0,0.2289,0.4375,0.1791,0.1481,0.2381,0.2195,0.15,0.4348
Linwood Monroe Arts Plus Upper,528.0,6.0,0.3688,0.6111,0.2857,0.1957,0.3636,0.3733,0.2391,0.6122
Linwood Monroe Arts Plus Upper,528.0,7.0,0.3252,0.5946,0.2093,0.2,0.3443,0.3065,0.1605,0.6429
Linwood Monroe Arts Plus Upper,528.0,8.0,0.3217,0.5854,0.1757,0.1111,0.2979,0.3382,0.1449,0.587
Nokomis Montessori North Campus,533.0,3.0,0.2653,0.4,0.2059,,0.3448,0.15,0.2813,0.2353
Nokomis Montessori North Campus,533.0,4.0,0.3333,0.7,0.2286,,0.2632,0.3846,0.2069,0.5625
Nokomis Montessori North Campus,533.0,5.0,0.3333,0.4615,0.2692,,0.3333,0.3333,0.1667,0.4762
Nokomis Montessori South Campus,534.0,3.0,0.2308,0.4,0.1724,,0.3182,0.1176,0.05,0.4211
Nokomis Montessori South Campus,534.0,4.0,0.359,,,,0.3043,0.4375,0.32,0.4286
Nokomis Montessori South Campus,534.0,5.0,0.1622,,,,0.15,0.1765,0.0,0.3158
Phalen Lake Hmong Studies Magnet,541.0,3.0,0.4286,,,,0.4118,0.4468,0.4286,0.4286
Phalen Lake Hmong Studies Magnet,541.0,4.0,0.3696,,,,0.4151,0.3077,0.3846,0.2857
Phalen Lake Hmong Studies Magnet,541.0,5.0,0.3367,,,,0.3864,0.2963,0.3012,0.5333
Randolph Heights Elementary,545.0,3.0,0.8333,0.9615,0.5769,0.4167,0.75,0.9048,0.5926,0.9608
Randolph Heights Elementary,545.0,4.0,0.7826,0.8889,0.5833,,0.7949,0.7667,0.35,0.9592
Randolph Heights Elementary,545.0,5.0,0.6418,0.725,0.5185,,0.6774,0.6111,0.5238,0.6957
Riverview West School Of Excellence,551.0,3.0,0.125,,,0.0714,0.1333,0.1154,0.1304,0.1
Riverview West School Of Excellence,551.0,4.0,0.1552,,,0.2,0.1333,0.1786,0.1429,0.1875
Riverview West School Of Excellence,551.0,5.0,0.0612,,,0.0833,0.15,0.0,0.0857,0.0
Paul & Sheila Wellstone Elementary,552.0,3.0,0.2169,,,0.1,0.225,0.2093,0.1449,0.5714
Paul & Sheila Wellstone Elementary,552.0,4.0,0.1905,,,0.1053,0.2821,0.1111,0.1757,0.3
Paul & Sheila Wellstone Elementary,552.0,5.0,0.1789,,,0.0714,0.2545,0.075,0.1519,0.3125
St. Anthony Park Elementary,557.0,3.0,0.6627,0.7778,0.5263,,0.7073,0.619,0.4091,0.7541
St. Anthony Park Elementary,557.0,4.0,0.7647,0.8448,0.5926,,0.8095,0.7209,0.4375,0.8406
St. Anthony Park Elementary,557.0,5.0,0.5634,0.7805,0.2667,0.3077,0.5625,0.5641,0.375,0.6596
Saint Paul Music Academy,558.0,3.0,0.3118,,,0.4091,0.3696,0.2553,0.3012,0.4
Saint Paul Music Academy,558.0,4.0,0.4095,,,0.25,0.36,0.4545,0.413,0.3846
Saint Paul Music Academy,558.0,5.0,0.3273,,,0.1538,0.3333,0.3231,0.3039,
Obama Service Learning Elementary,578.0,3.0,0.2581,,,0.1667,0.25,0.2667,0.2692,
Obama Service Learning Elementary,578.0,4.0,0.1481,,,0.122,0.1481,0.1481,0.1556,
Obama Service Learning Elementary,578.0,5.0,0.0652,,,0.0313,0.087,0.0435,0.0682,
American Indian Magnet School,579.0,3.0,0.1159,,,,0.1951,0.0,0.0926,0.2
American Indian Magnet School,579.0,4.0,0.0758,,,0.0,0.1081,0.0345,0.0926,0.0
American Indian Magnet School,579.0,5.0,0.0746,,,0.0,0.125,0.0286,0.0806,
American Indian Magnet School,579.0,6.0,0.1,,,0.0,0.1622,0.0303,0.0714,0.2143
American Indian Magnet School,579.0,7.0,0.0429,,,0.0,0.0811,0.0,0.0364,0.0667
American Indian Magnet School,579.0,8.0,0.12,,,,0.1071,0.1364,0.1395,
Battle Creek Middle,310.0,6.0,0.0683,,,0.087,0.0743,0.0594,0.0625,0.0976
Battle Creek Middle,310.0,7.0,0.2048,0.1538,0.2076,0.0899,0.1849,0.2231,0.1791,0.3125
Battle Creek Middle,310.0,8.0,0.2383,0.4167,0.2287,0.0964,0.2362,0.2407,0.2273,0.2712
Farnsworth Aerospace Upper,315.0,5.0,0.3458,,,0.1667,0.4,0.2885,0.3452,0.3478
Farnsworth Aerospace Upper,315.0,6.0,0.1534,,,0.1111,0.1327,0.1795,0.1071,0.3333
Farnsworth Aerospace Upper,315.0,7.0,0.2176,,,0.0667,0.2451,0.1765,0.2,0.2667
Farnsworth Aerospace Upper,315.0,8.0,0.2112,,,0.0345,0.1687,0.2564,0.1654,0.3824
Highland Park Middle School,330.0,6.0,0.3941,0.7129,0.2024,0.2281,0.3881,0.4,0.136,0.6181
Highland Park Middle School,330.0,7.0,0.3808,0.6792,0.1753,0.1458,0.3358,0.4309,0.1008,0.617
Highland Park Middle School,330.0,8.0,0.4008,0.7,0.1825,0.1951,0.3333,0.4737,0.1607,0.616
Murray Middle School,342.0,6.0,0.3516,0.6667,0.2157,0.1176,0.3394,0.3636,0.237,0.5357
Murray Middle School,342.0,7.0,0.303,0.5854,0.1477,0.1017,0.2712,0.3363,0.1203,0.551
Murray Middle School,342.0,8.0,0.4112,0.6941,0.2248,0.1923,0.4464,0.3725,0.178,0.6979
Parkway Montessori/Community Middle,344.0,6.0,0.1096,0.2632,0.0866,0.0303,0.1392,0.0746,0.0818,0.1944
Parkway Montessori/Community Middle,344.0,7.0,0.1862,0.2632,0.1746,0.0278,0.15,0.2308,0.1964,0.1515
Parkway Montessori/Community Middle,344.0,8.0,0.2824,0.65,0.2162,0.16,0.2097,0.3478,0.2277,0.4667
Ramsey Middle School,345.0,6.0,0.215,0.5,0.12,0.0238,0.1856,0.2427,0.0645,0.4605
Ramsey Middle School,345.0,7.0,0.1914,0.525,0.082,0.0732,0.1319,0.2676,0.0734,0.434
Ramsey Middle School,345.0,8.0,0.3547,0.6889,0.2362,0.1618,0.3438,0.3684,0.2115,0.5735
Central Senior High,210.0,11.0,0.4663,0.7692,0.292,0.1458,0.5579,0.3614,0.2234,0.7381
Como Park Senior High,212.0,11.0,0.2235,0.5455,0.1507,0.1224,0.2277,0.2179,0.1591,0.4043
Harding Senior High,215.0,11.0,0.2104,0.2273,0.2092,0.129,0.2105,0.2102,0.1837,0.2745
Highland Park Senior High,220.0,11.0,0.4612,0.6782,0.3418,0.3077,0.525,0.4,0.2931,0.6124
Johnson Senior High,230.0,11.0,0.2574,0.4231,0.2398,0.1739,0.2948,0.1919,0.2407,0.3214
Sp_District_All,0.0,3.0,0.3966,0.7251,0.3021,0.2486,0.4268,0.3664,0.2625,0.6425
Sp_District_All,0.0,4.0,0.3903,0.7227,0.3046,0.2259,0.3993,0.3804,0.279,0.6229
Sp_District_All,0.0,5.0,0.3127,0.6074,0.2332,0.1432,0.3153,0.31,0.207,0.5296
Sp_District_All,0.0,6.0,0.2463,0.6075,0.1615,0.1168,0.2522,0.2396,0.1409,0.4897
Sp_District_All,0.0,7.0,0.2737,0.5846,0.1995,0.1141,0.2555,0.2935,0.1724,0.5
Sp_District_All,0.0,8.0,0.3274,0.6368,0.2455,0.1573,0.3106,0.3454,0.2271,0.5381
Sp_District_All,0.0,11.0,0.2735,0.564,0.219,0.1262,0.2925,0.2503,0.2011,0.4486
Mpls_District_All,0.0,3.0,0.5181,0.8195,0.3329,0.2849,0.5326,0.5028,0.298,0.7967
Mpls_District_All,0.0,4.0,0.482,0.8122,0.3032,0.2585,0.5102,0.4506,0.2705,0.7737
Mpls_District_All,0.0,5.0,0.403,0.7466,0.1979,0.153,0.4108,0.3956,0.1812,0.7047
Mpls_District_All,0.0,6.0,0.3695,0.7087,0.1921,0.142,0.3753,0.3636,0.1691,0.6752
Mpls_District_All,0.0,7.0,0.4025,0.7637,0.1972,0.1208,0.4071,0.3979,0.1585,0.7298
Mpls_District_All,0.0,8.0,0.411,0.7044,0.2518,0.1706,0.3867,0.4373,0.2229,0.6825
Mpls_District_All,0.0,11.0,0.2715,0.6119,0.1111,0.0648,0.2713,0.2718,0.1007,0.5126
State_All,0.0,3.0,0.656,0.7612,0.468,0.3849,0.6796,0.6314,0.4518,0.7905
State_All,0.0,4.0,0.6387,0.7465,0.4492,0.3499,0.653,0.6235,0.4323,0.7762
State_All,0.0,5.0,0.5204,0.6158,0.3475,0.258,0.5297,0.5107,0.3206,0.6532
State_All,0.0,6.0,0.5048,0.6068,0.3172,0.2258,0.5174,0.4917,0.2878,0.6437
State_All,0.0,7.0,0.5206,0.6164,0.3343,0.2282,0.5212,0.5199,0.295,0.6554
State_All,0.0,8.0,0.5517,0.6365,0.381,0.2615,0.523,0.5816,0.3332,0.6752
State_All,0.0,11.0,0.4502,0.5219,0.2802,0.1688,0.4441,0.4568,0.2366,0.546
